tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,Roberta_neg,Roberta_neu,Roberta_pos
1444288787907899403,2021-10-02 13:10:55,,en,8789,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: BTS won ""Artist of the year"" (Its not a Daesang but it's Bonsang, there are 13 artists who received this award) 🏆 Congratula…",2019-03-07 05:31:53,Jian⁷,1948,"#𝐁𝐓𝐒: 𝘵𝘦𝘢𝘮𝘸𝘰𝘳𝘬 𝘮𝘢𝘬𝘦𝘴 𝘵𝘩𝘦 𝘥𝘳𝘦𝘢𝘮 𝘸𝘰𝘳𝘬.

𓂅ㅤ  ⌗ㅤ 𝗯𝘁𝘀.   ⸝⸝ ㅤ🎐    𝟬𝟳   ⊹  ↺",,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0017941233,0.090496264,0.9077096
1444288787765350409,2021-10-02 13:10:55,,en,8789,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: BTS won ""Artist of the year"" (Its not a Daesang but it's Bonsang, there are 13 artists who received this award) 🏆 Congratula…",2019-01-09 11:51:51,Lou_ies,32,"Just a simple girl with big dreams💛
ENHYPEN • BTS • PNATION",,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0017941233,0.090496264,0.9077096
1444288787727585280,2021-10-02 13:10:55,,und,1240,Twitter for iPhone,http://twitter.com/download/iphone,"RT @_candyclover: .@BTS_twt ขึ้นรับรางวัล ‘U+ Idol Live Popularity’ จากงานประกาศรางวัล The Fact Music Awards ประจำปี 2021 [PRESS]

#BTSat20…",2018-11-21 17:09:10,BTS❤️P,18,คิดถึงบังทัน&น้องจองกุก #BTS_Butter #PermissiontoDance #BTS #BTSARMY Just Bangtan Sonyeondan💜 From Adorable Representative M.C. for Youth,,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.039775304,0.8595875,0.10063716
1444288787614355457,2021-10-02 13:10:55,BTSat2021TMA,en,5167,Twitter for iPhone,http://twitter.com/download/iphone,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2020-07-07 00:24:56,riri⁷✩,1444,#TAEHYUNGIST ☆ || bgc bitches ♡,she/her ☆,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
1444288787601711108,2021-10-02 13:10:55,BTSat2021TMA,en,292,Twitter for Android,http://twitter.com/download/android,"RT @jinsbabygirl04: BTS line-up at the last 

• Boy With Luv 
• BUTTER 
• Permission 

#BTSat2021TMA @BTS_twt https://t.co/yMvugRZMsT",2020-01-03 12:30:47,Lalaa paus 🐳,4695,⠀⠀ ⚘  ˗ˏˋ 🐇 ✧ being able to call myself an 𝐚𝐫𝐦𝐲 is so special ◞ here to ♡ 𝐁𝐓𝐒 who brings me joy & comfort especially lil prince 𝗝𝗲𝗼𝗻𝗴𝗴𝘂𝗸 。✰,She/Her    ♡,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0077346754,0.7520235,0.24024184
1444288787375214594,2021-10-02 13:10:55,BTSat2021TMA,en,27323,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: BTS won 'Fan and Star Most Voted'!! 🏆 congratulations!!! @BTS_twt #BTSat2021TMA 

V : We could win this award because ARMYs…",2020-12-18 08:34:18,lala 📚,75,,,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0012972497,0.02686288,0.9718399
1444288787274633219,2021-10-02 13:10:55,,und,1533,Twitter for Android,http://twitter.com/download/android,"RT @_candyclover: [🏆] @BTS_twt ชนะรางวัล ‘Artist of the Year’ จากงานประกาศรางวัล The Fact Music Awards ประจำปี 2021 (ชนะ 4 ปีซ้อน)

#BTSat2…",2021-04-14 14:53:15,꒰ 𝐓𝐨𝐍𝐤𝐀𝐨𝐖◦ ꒱,8,ป๋านัมเป็นคนหล่อ💜    #tonkaowreview,,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0384188,0.87333816,0.088243
1444288787253633027,2021-10-02 13:10:55,"방탄소년단, BTS",en,1406,Twitter for Android,http://twitter.com/download/android,"RT @ARMYTEAMIID: [💜]

BTS menang “Artist of The Year” di the 2021 The Fact Music Awards (TMA).

SELAMAT BTS!!
#방탄소년단 #BTS @BTS_twt 
#BTSat2…",2020-10-06 16:47:35,вυη∂α ηαяα◛⑅·˚ ༘ ♡,948,"#𝐂𝐘𝐁𝐄𝐑𝐅𝐀𝐍 ; harta, tahta, deehan dhaninjaya♡




































































#BTS #TXT #ENHYPEN #REDVELVET #NCT",she/her ; deehan♡,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.02311076,0.70996,0.26692924
1444288787228413962,2021-10-02 13:10:55,,und,1240,Twitter for iPhone,http://twitter.com/download/iphone,"RT @_candyclover: .@BTS_twt ขึ้นรับรางวัล ‘U+ Idol Live Popularity’ จากงานประกาศรางวัล The Fact Music Awards ประจำปี 2021 [PRESS]

#BTSat20…",2018-04-27 17:33:42,นจมมิมิ🍞🤏🏻ft.น้องจุ้บเร้ก🦮🤍,280,มัมหมีน้องจีมิน🤏🏻 𝐾𝑜𝑜𝑘𝑚𝑖𝑛🐰🐥 𝘷𝘮𝘪𝘯🐯🐥                                  @BTS_twt : Jimin🐥@ENHYPEN_members : Jake🦮,"กรุงเทพมหานคร, ประเทศไทย",#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.039775304,0.8595875,0.10063716
1444288787216060416,2021-10-02 13:10:55,,en,14,Twitter for Android,http://twitter.com/download/android,RT @taesnowhite: Congratulations @BTS_twt for winning the Artist of the Year Award (Bonsang) at the 2021 The Fact Music Awards! #BTSat2021T…,2017-05-01 19:48:45,dubunie,176,uh huh listen boy my first love story.  -ㅅ-,.-.,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0007322827,0.025209213,0.97405845
1444288787207446531,2021-10-02 13:10:55,,th,15,Twitter for iPhone,http://twitter.com/download/iphone,"RT @sawok_2minn: แทฮยองยิ้มกว้างมากเพราะฮยองซิกเป็นคนประกาศพร้อมมอบรางวัล 'Artist of the Year'

ก่อนหน้าฮยองซิกก็พูดว่ามาเพราะแทฮยอง ฮือออ…",2011-02-26 16:11:04,SXJK___🐰,5,,,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.15410738,0.80600274,0.039889887
1444288787186532358,2021-10-02 13:10:55,BTSat2021TMA,en,5167,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2020-10-01 10:28:13,⁷,58,everythingoes~  |   ot7,18+ |  they/she,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
1444288787173937152,2021-10-02 13:10:55,BTSat2021TMA,en,5167,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2019-04-07 14:10:14,ry⁷,536,"🐹:·ᴗ·
OT7 acc (she/her)
II btspopper",see how beautiful the sky is,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
1444288787069157376,2021-10-02 13:10:55,,es,7,Twitter for Android,http://twitter.com/download/android,"RT @Lilbangtan7_: AWWWWWWW VIERON LA CARITA TAN DULCE QUE PUSO TAEHYUNG🐻🤎Y JUSTO CUANDO
PARK HYUNGSIK LES DIO SU PREMIO AL GANAR🏆👏🏻😭😭😭😭😭TER…",2021-06-02 20:44:21,💛Dafneᵏᵒᵒᵏᵐᶦⁿ|JIMTOBER🐥🥰,11,,,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.24924861,0.6334028,0.11734857
1444288787060862977,2021-10-02 13:10:55,BTSat2021TMA,es,312,Twitter for Android,http://twitter.com/download/android,RT @nicolle971_: Pero miren el poder que tienen al caminar Dios mio😭💜💜💜 @BTS_twt #BTSat2021TMA https://t.co/472HAaPBtZ,2019-12-09 22:46:36,Moon Blue. 🇵🇪,4,이 프로필은 ARMY 출신입니다,,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0031388158,0.19649607,0.80036515
1444288787035525122,2021-10-02 13:10:55,BTSat2021TMA,en,5167,Twitter for iPhone,http://twitter.com/download/iphone,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2020-05-02 21:57:56,𝐋𝐄𝐀. | lg ter jay-jay,1640,࿐ 𝐹𝑜𝑟 𝑚𝑦 𝑙𝑜𝑣𝑒 ♥︎ #⃞𝗕𝗧𝗦 #⃞𝗘𝗡𝗛𝗬𝗣𝗘𝗡,she/her,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
1444288787031502848,2021-10-02 13:10:55,,en,8788,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: BTS won ""Artist of the year"" (Its not a Daesang but it's Bonsang, there are 13 artists who received this award) 🏆 Congratula…",2018-05-18 12:01:27,Moon Alpacaᴮᴱ💜🍎🌱,495,"Seokjin stan. BTS stan. Food stan. Love my babys @bts_twt 💕
Jin are you real? #BTSinAllianzParque 🇵🇾 25 y 26/05/19🇧🇷",Paraguay,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0017941233,0.090496264,0.9077096
1444288786914021379,2021-10-02 13:10:55,BTSat2021TMA,en,5167,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2020-10-16 05:34:13,ℂ𝕒𝕥𝕖⁷ ʰᵒᵇᵉ ⁶₁₃🪐🌌,79,"안다면 주저 말고 please save my life

-make it right","La Plata, Argentina ❤︎💜",#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
1444288786741923846,2021-10-02 13:10:55,BTSat2021TMA,en,50,Twitter for iPhone,http://twitter.com/download/iphone,"RT @jinsbabygirl04: BTS ACCEPTANCE SPEECH FOR 'ARTIST OF THE YEAR' Award

#BTSat2021TMA @BTS_twt

https://t.co/4yPCK2hXk6",2021-04-07 04:05:17,purple_army012 ⁷ 🐳💜🐙,114,“You will find BTS when you need them the most.” 💯,,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.012882839,0.69649845,0.29061866
1444288786691674112,2021-10-02 13:10:54,BTSat2021TMA,en,5021,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2015-12-06 03:41:30,andreaRMy13,3928,hopelessly devoted to the people who bring happiness to my life ♥,bangtanland,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
1444288786649817097,2021-10-02 13:10:54,BTSat2021TMA,pt,914,Twitter for Android,http://twitter.com/download/android,"RT @WFVOTING: 🏆 | Parabéns ao @BTS_twt por receber o prêmio 'Artista do Ano (BONSANG)' no The Fact Music Awards 2021.

#BTSat2021TMA #TMA20…",2019-08-06 04:54:49,mimi⁷,215,only army,,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.012388129,0.8161275,0.17148443
1444288786590945285,2021-10-02 13:10:54,BTSat2021TMA,en,5021,Twitter Web App,https://mobile.twitter.com,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2021-05-03 13:40:03,Elleze🌹💡⟭⟬⁷ #BRAIN💛,114,"B2uty/Light SINCE 2009

BTS ARMY SINCE 2015
but came to twt for NTE💨",,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
1444288786523955200,2021-10-02 13:10:54,BTSat2021TMA,en,9066,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: The bugs bothered Jin when he talked so he tried to blow them away.. 
@BTS_twt #BTSat2021TMA

https://t.co/MljoOA88XY",2014-03-14 15:34:34,🇵🇸🇵🇸 ~MY Universe~,1616,"-S/her- 23
I'm a fan of GRAMMY-NOMINEE singers who have BB hot 100 #1 for nine weeks in a row and won BB music award top social artist for four years in a ROW",,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.4321759,0.51439995,0.053424183
1444288786465112065,2021-10-02 13:10:54,"BTSat2021TMA, KimTaehyung, BTSV",th,767,Twitter for iPad,http://twitter.com/#!/download/ipad,"RT @TAETAE_VN_: ภายใต้แมสนั้นเป็นรอยยิ้มที่สดใสที่อาร์มี่ควรจะได้เห็นแบบไม่มีอะไรมาปิดไว้...

#BTSat2021TMA #KimTaehyung #BTSV https://t.co…",2020-05-22 02:28:55,คนของเฮียกิ,14,ทั้งหมดทั้งใจหัวใจยกให้ยุ๋นกี๋ถึงจะนอกใจไปหาน้องจีมน้องกุกบ่อยก็ตาม,"อ.แก่งคอย, จ.สระบุรี",#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.09035307,0.8369828,0.0726642
1444288786368712704,2021-10-02 13:10:54,BTS,en,1109,Twitter for Android,http://twitter.com/download/android,"RT @BTSdailyinfo: [VIDEO] 211002 @BTS_twt

Congratulations to #BTS for winning 'Artist Of The Year (Bonsang)' at the 2021 The Fact Music Aw…",2020-09-22 08:55:16,ᴊᴇʏ⁷ɴᴀʏʏ,8601,"𝐅𝐀𝐍 𝐀𝐂𝐂𝐎𝐔𝐍𝐓 : @BTS_twt ✰ ──── oh, really? yes ma bro 📎 • 𝗲𝗻𝘁𝗵𝘂𝘀𝗶𝗮𝘀𝘁 ✦ ❬ this acc is dedicated of 𝙗𝞪𝙣𝙜𝙩𝞪𝙣 ❭ 🪐ˎˊ˗",💭 . . . thinking about bts,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0019685335,0.14792043,0.850111
1444288786360270848,2021-10-02 13:10:54,,en,263,Twitter for Android,http://twitter.com/download/android,"RT @GlobalBTSVoting: Awards received by @BTS_twt so far.

🏆Most Voted Artist (Fan N Star)
🏆 Popularity Award (U+ Idol live)
🏆 Artist of the…",2019-01-20 20:32:28,AgustD 🚲🌌,271,"Fan ACCOUNT Butter: https://t.co/wsB4rYU2gp
Bicycle:https://t.co/HjKJYfdAqV
RM - Bicycle SoundCloud: https://t.co/e7oTlRXvj3",,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.013786367,0.7630958,0.22311786
1444288786268049408,2021-10-02 13:10:54,BTSat2021TMA,tl,375,Twitter for iPhone,http://twitter.com/download/iphone,"RT @thetaeprint: [PHOTO] 210903 The Fact Music Awards | Taehyung 

TAEHYUNG AT TMA

#BTSat2021TMA @BTS_twt https://t.co/7XNCVKFdLT",2012-03-10 19:35:57,Semplicemente Erika💜,1282,"✨💜 Shine, dream, smile! Oh let us light up the night 우린 우리대로 빛나. Shine, dream, smile Oh let us light up the night 우리 그 자체로 빛나 Tonight💜✨",,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.024669236,0.84929514,0.12603553
1444288786251190274,2021-10-02 13:10:54,BTSat2021TMA,en,5167,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2020-09-17 01:47:55,𝒇𝒊𝒂𝒂💃,240,"✰ #방탄소년단⋆ 𝘺𝘰𝘶 𝘢𝘳𝘦 𝘵𝘩𝘦 𝙗𝙚𝙨𝙩 𝙥𝙖𝙧𝙩 𝙤𝙛 me ¦¦
김태형 𝗮𝗻𝗱 전정국  

˒ ⌕   꽃’  :  태꾹  %   🎠゛",magic shop,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
1444288786242752512,2021-10-02 13:10:54,,und,302,Twitter for iPhone,http://twitter.com/download/iphone,"RT @_candyclover: .@BTS_twt ขึ้นรับรางวัล ‘U+ Idol Live Popularity’ จากงานประกาศรางวัล The Fact Music Awards ประจำปี 2021 [PRESS]

#BTSat20…",2015-05-28 07:59:34,𝙢𝙖𝙠𝙚𝙖𝙬𝙞𝙨𝙝♡,160,-𝘧𝘳𝘰𝘮 𝘮𝘪𝘥𝘯𝘪𝘨𝘩𝘵 𝘵𝘰 𝘴𝘶𝘯𝘳𝘪𝘴𝘦 -,2PM 우영 | BTS 태형 | ENHYPEN 성훈,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.039775304,0.8595875,0.10063716
1444288786146349061,2021-10-02 13:10:54,,en,8789,Twitter Web App,https://mobile.twitter.com,"RT @choi_bts2: BTS won ""Artist of the year"" (Its not a Daesang but it's Bonsang, there are 13 artists who received this award) 🏆 Congratula…",2017-08-20 15:23:05,t⁷ : univ 📚,681,"my solace, @BTS_twt ♡",+63 | s!h,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0017941233,0.090496264,0.9077096
1444288786116931585,2021-10-02 13:10:54,,en,8789,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: BTS won ""Artist of the year"" (Its not a Daesang but it's Bonsang, there are 13 artists who received this award) 🏆 Congratula…",2019-10-13 22:39:21,andriyanitae,192,jodohnya KIM TAEHYUNG💜,,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0017941233,0.090496264,0.9077096
1444288785974378498,2021-10-02 13:10:54,BTSat2021TMA,en,5167,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2021-05-13 14:30:19,Chim Chim Angel⁷🐥💗♡JIMTOBER♡,511,"“if it’s the sake for everyone’s smile ,I’m always fine“ 🌿 she/her¹⁷ | bu: @Mochilvs95 🐥🌸",JIMIN'S HEART,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
1444288785878036480,2021-10-02 13:10:54,BTSat2021TMA,en,5167,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2010-08-27 12:10:29,Nappi 💜,970,"♢Personal & Fan account ♢BTS (Jin bias) ♢Animal Crossing ⚠️I RT & tweet a lot, especially BTS content!",Österreich,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
1444288785806622726,2021-10-02 13:10:54,BTSat2021TMA,en,5167,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2020-05-23 17:33:21,sansa💜,30,💜,,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
1444288785785651204,2021-10-02 13:10:54,,en,263,Twitter for Android,http://twitter.com/download/android,"RT @GlobalBTSVoting: Awards received by @BTS_twt so far.

🏆Most Voted Artist (Fan N Star)
🏆 Popularity Award (U+ Idol live)
🏆 Artist of the…",2021-04-21 14:24:19,Yoonie♡⁷| Jimtober🐥,445,"#Bts : We are each other's nightscapes, each other's Moon ♡

| solo stans DNI |

she/her 
 |OT7|
 |'03 liner|

Live just like we're golden ♪‥",yoonieverse ♡,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.013786367,0.7630958,0.22311786
1444288785693376515,2021-10-02 13:10:54,,th,1930,Twitter for Android,http://twitter.com/download/android,"RT @yoong_coffee: เตรียมการแสดงอะไรมาบ้างในวันนี้ครับ?
""มีเพลงที่เราโปรโมทในปีนี้แล้วก็เพลงที่เราไม่ได้แสดงมานานแล้วอีกหนึ่งเพลงครับ..""

👀🧐…",2021-01-25 07:20:35,G.uide,2,,,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.18337658,0.7755876,0.041035898
1444288785596891140,2021-10-02 13:10:54,BTS,en,1109,Twitter for Android,http://twitter.com/download/android,"RT @BTSdailyinfo: [VIDEO] 211002 @BTS_twt

Congratulations to #BTS for winning 'Artist Of The Year (Bonsang)' at the 2021 The Fact Music Aw…",2010-08-15 06:03:14,else meiwike andreas,539,"There are hundreds of me’s inside of me. I’m facing a new me again today, it’s all me anyway. It’s okay, I’m in love with my myself 💜",Indonesia ,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0019685335,0.14792043,0.850111
1444288785567551489,2021-10-02 13:10:54,"방탄소년단, BTS, BTSat2021TMA",in,1229,Twitter for Android,http://twitter.com/download/android,"RT @ARMYTEAMIID: [🎥]

JEON JUNGKOOOK!!

#방탄소년단 #BTS @BTS_twt #BTSat2021TMA 

 https://t.co/ESoKY2qIah",2019-08-31 15:03:59,Selvia Deva,2929,Stan BTS & iKON for a better life,"Seoul, Republic of Korea",#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.015376644,0.66062915,0.32399422
1444288785563336711,2021-10-02 13:10:54,,en,51,Twitter Web App,https://mobile.twitter.com,"RT @TheTKGlobal: 🎥| Kim Taehyung &amp; Jeon Jungkook, smiling so big &amp; shaking hands with Park Hyungsik, an acclaimed actor &amp; also Taehyung's c…",2020-06-01 11:25:30,JUNGKOOKIE💜💜🐰🐯☔,141,"She/her💜💚
My Loves 💖🐯🐰💖 Jeon Jungkook my comfort angel💕💕💕 Kim Taehyung my happiness booster 💕💕💕",,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0017025489,0.15286025,0.8454372
1444288785496174595,2021-10-02 13:10:54,BTSat2021TMA,en,5167,Twitter Web App,https://mobile.twitter.com,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2009-08-14 11:37:45,amaᴮᴱ⁷#🐳💜🐙 myuniverse🌌,180,"a fan account • 🇮🇩ARMY • Purple World BTS💜💜💜💜💜💜💜
Penyuka segalanya....segala..galanya bangtan🐨🐹🐱🐿️🐥🐻🐰","Tarakan, Indonesia",#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
1444288785408086016,2021-10-02 13:10:54,,und,1533,Twitter for iPhone,http://twitter.com/download/iphone,"RT @_candyclover: [🏆] @BTS_twt ชนะรางวัล ‘Artist of the Year’ จากงานประกาศรางวัล The Fact Music Awards ประจำปี 2021 (ชนะ 4 ปีซ้อน)

#BTSat2…",2021-01-23 19:39:55,민트♡지민시,0,หัวใจพี่ปาร์ค ♡,,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0384188,0.87333816,0.088243
1444288785349439489,2021-10-02 13:10:54,BTSat2021TMA,en,5021,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2020-10-17 12:57:08,Puja Gurung,9,,,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
1444288785336856581,2021-10-02 13:10:54,BTSat2021TMA,en,5167,Twitter for Android,http://twitter.com/download/android,"RT @choi_bts2: Jungkook : ARMY jjang!! (the best)!! 
@BTS_twt #BTSat2021TMA https://t.co/CSEoqUfNzp",2020-11-05 13:39:24,Chinth⁷🐙💜,2989,"Let's break our plans, and live just like we're golden ✨",She/her | 19 | 🇱🇰,#BTSat2021TMA,2021-10-02 13:06:44.759519,United States,0.0023838899,0.113887295,0.88372874
